complex_id,complex_name
605,168 St - Washington Hts
602,14 St - Union Sq
626,Franklin Av / Botanic Garden
610,Grand Central - 42 St
622,Brooklyn Bridge-City Hall / Chambers St
624,Chambers St / WTC / Park Place / Cortlandt St
630,Myrtle - Wyckoff Avs
604,161 St - Yankee Stadium
607,34 St - Herald Sq
609,42 St - Bryant Pk / 5 Av
601,14 St / 6 Av
616,Jackson Hts-Roosevelt Av / 74 St
635,South Ferry / Whitehall
619,Broadway-Lafayette St / Bleecker St
615,62 St / New Utrecht Av
612,Lexington Av / 51 St
611,Times Sq - 42 St / Port Authority Bus Terminal
603,149 St - Grand Concourse
608,4 Av - 9 St
614,59 St - Columbus Circle
623,Canal St
627,Franklin Av
620,Borough Hall / Court St
625,Delancey St / Essex St
628,Fulton St
621,Broadway Junction
613,Lexington Av / 59 St
618,14 St / 8 Av
606,Court Sq - 23 St
629,Metropolitan Av / Lorimer St
617,Atlantic Av-Barclays Ctr
636,Jay St - MetroTech
